"category","category_name","description"
"IAB15-1","Astrology","Content focused on celestial divination and horoscopes. Deeply embedded in Indian culture, covering Vedic astrology (Jyotish Shastra), Kundali matching for marriages, the Panchang (Hindu calendar), Navagraha (nine planets) influences, gemstone recommendations, and the booming ecosystem of Indian digital astrology platforms like Astrotalk."
"IAB15-2","Biology","Information regarding life sciences, living organisms, and biodiversity. Covers India’s rich ecological hotspots (Western Ghats, Himalayas), zoological research, ICMR's biomedical breakthroughs, genetics, microbiology, and the burgeoning Indian biotech industry spearheaded by companies like Biocon and the Serum Institute."
"IAB15-3","Chemistry","Content on chemical sciences, matter, and chemical engineering. Highly relevant to India’s massive industrial sectors, covering pharmaceutical API (Active Pharmaceutical Ingredient) manufacturing, agro-chemicals (fertilizers like those from IFFCO), petrochemicals in Gujarat, polymer sciences, and historical traditional chemistry (Rasashastra)."
"IAB15-4","Geology","Information concerning earth sciences, solid earth structures, and rock formations. Covers the Geological Survey of India (GSI), the mineral-rich mining belts of Odisha and Jharkhand (coal, iron ore), the volcanic basalt of the Deccan Traps, and the high-risk seismic fault lines along the Himalayan region."
"IAB15-5","Paranormal Phenomena","Content regarding supernatural occurrences and unexplainable events. In the Indian context, this covers urban legends, haunted historical sites (like Bhangarh Fort or Kuldhara), local superstitions, investigations into black magic (Kala Jadu), folklore regarding spirits (Bhoot/Pret), and regional mythological mysteries."
"IAB15-6","Physics","Information on matter, energy, and physical laws. Covers theoretical and applied physics in India, atomic research at the Bhabha Atomic Research Centre (BARC), contributions of legends like C.V. Raman (Raman Effect) and S.N. Bose, quantum computing research at TIFR, and the Indian semiconductor mission."
"IAB15-7","Space/Astronomy","Content focused on astrophysics, cosmos exploration, and celestial science. Dominated by the Indian Space Research Organisation (ISRO), covering landmark missions (Chandrayaan lunar rovers, Mangalyaan, Gaganyaan), satellite launches from Sriharikota, ancient observatories (Jantar Mantar), and amateur telescope viewing."
"IAB15-8","Geography","Information regarding physical environments, topographies, and human spatial structures. Covers India's diverse physical features—the Himalayan ranges, the Thar Desert, the Indo-Gangetic plains, and the peninsular plateau—along with major river systems (Ganga, Brahmaputra, Godavari) and the Survey of India's cartography."
"IAB15-9","Botany","Content on plant sciences and flora. Highly significant in India due to traditional Ayurvedic medicine, covering medicinal botanicals (Neem, Tulsi, Ashwagandha), agricultural crop science by ICAR (Indian Council of Agricultural Research), endemic plant conservation, and research at historic botanical gardens (like the AJCB Indian Botanic Garden in Howrah)."
"IAB15-10","Weather","Information concerning meteorology, climate patterns, and atmospheric conditions. Critical to India’s agrarian economy, covering the India Meteorological Department (IMD) forecasts, the Southwest Monsoon tracking, extreme heatwaves in North India (Loo), cyclonic storms in the Bay of Bengal, and severe urban smog/AQI fluctuations."
"IAB16","Pets","Comprehensive content covering animal companionship, domestic pets, and the rapidly growing Indian pet care ecosystem. Encompasses pet adoption drives, animal welfare NGOs (like Blue Cross of India and PFA), the booming market for premium pet food and accessories (Drools, Heads Up For Tails), pet grooming spas in metropolitan cities, and responsible pet ownership."
"IAB16-1","Aquariums","Information regarding ornamental fish keeping, aquascaping, and home aquariums. Covers the Indian hobbyist market for freshwater species (Guppies, Goldfish, Arowanas, Flowerhorns), setup and maintenance of glass tanks, aquatic plants, biological filtration pumps, and Vastu Shastra principles related to placing aquariums for positive energy and prosperity."
"IAB16-2","Birds","Content focused on avian companionship and captive bird care. Includes information on exotic pet birds legally permitted in India (such as Budgerigars, Cockatiels, and Lovebirds), bird cage setups, specialized seed mixes, avian health, and strict compliance with the Wildlife Protection Act (which bans keeping indigenous Indian birds like parrots or munias)."
"IAB16-3","Cats","Information concerning feline pets and cat care. Covers the rising urban popularity of adopting indie cats (Indian billi) alongside purebreds (Persians, Siamese, Maine Coons), feline nutrition (Whiskas, Royal Canin), litter box training (bentonite/tofu litter), spaying and neutering, managing shedding in the Indian climate, and the cultural emergence of cat cafes."
"IAB16-4","Dogs","Comprehensive content on canine companionship and dog welfare. Covers adopting Indian pariah dogs (indies) versus acquiring popular breeds (Labradors, Golden Retrievers, German Shepherds), dog training, Kennel Club of India (KCI) registrations, combating tick and flea issues during the Indian monsoon, and mandatory canine vaccination schedules (Rabies, Parvovirus, DHPPi)."
"IAB16-5","Large Animals","Information regarding the care and management of livestock and equines. In the Indian context, this heavily encompasses rural animal husbandry, dairy cattle management (cows, water buffaloes), equine care for equestrian clubs or traditional wedding horses (Ghodi), stable maintenance, and specialized veterinary needs for large farm animals and draft animals."
"IAB16-6","Reptiles","Content focused on keeping cold-blooded exotic pets. A very niche segment in India heavily regulated by the Wildlife Protection Act, covering legally permitted exotic reptiles (such as specific non-native turtles or iguanas), terrarium climate control (UVB heat lamps, humidity management), and specialized captive diets."
"IAB16-7","Veterinary Medicine","Information on animal healthcare, veterinary sciences, and clinical treatments. Covers local private veterinary clinics, government animal hospitals, deworming protocols, managing tick-borne diseases (tick fever), zoonotic disease prevention, emergency pet surgeries, and the expanding digital market for tele-vet consultations in India."
"IAB17","Sports","Comprehensive coverage of athletic competitions, physical fitness events, and sports broadcasting. In India, this is dominated by Cricket (BCCI), but heavily features the Pro Kabaddi League (PKL), Badminton (PV Sindhu, Thomas Cup), grassroots initiatives like Khelo India, and massive viewership on platforms like Star Sports, JioCinema, and Dream11."
"IAB17-1","Auto Racing","Content regarding motorsport and competitive driving. Covers the Indian motorsport ecosystem, including the Buddh International Circuit (BIC), the introduction of MotoGP Bharat, Formula E in Hyderabad, rally racing (INRC), and the growing urban fanbase for Formula 1 and Max Verstappen."
"IAB17-2","Baseball","Information on baseball leagues and gameplay. A highly niche sport in India, content primarily focuses on Major League Baseball (MLB) broadcasts for international sports enthusiasts, NRI communities, and grassroots development by platforms like Million Dollar Arm."
"IAB17-3","Bicycling","Content focused on cycling, both competitive and recreational. Covers the urban Indian cycling boom, track cycling at the velodrome, long-distance brevets (Audax India), the Tour de France viewership on Eurosport, and cycling clubs in metropolitan cities advocating for dedicated cycle lanes."
"IAB17-4","Bodybuilding","Information regarding muscle hypertrophy and physique competitions. Deeply embedded in Indian gym culture, covering regional events like Mr. India, the Sheru Classic, dietary supplements (whey protein, creatine), indigenous Akhara (pehlwani) training, and a massive fitness influencer ecosystem."
"IAB17-5","Boxing","Content on pugilism and amateur/professional boxing. A major Olympic medal-contributing sport for India, highlighting hubs like Haryana and the North East. Covers legends like Mary Kom and Vijender Singh, the Boxing Federation of India (BFI), and global heavyweight championship broadcasts."
"IAB17-6","Canoeing/Kayaking","Information on paddle sports and river navigation. Covers the growing adventure tourism sector in India, particularly white-water rafting and kayaking in Rishikesh (Ganges), Zanskar (Ladakh), and Kolad (Maharashtra), as well as national rowing championships."
"IAB17-7","Cheerleading","Content regarding organized cheering and acrobatic routines. In the Indian context, this is heavily associated with the Indian Premier League (IPL) entertainment ecosystem, featuring squad performances between cricket overs, rather than competitive scholastic cheerleading."
"IAB17-8","Climbing","Information on rock climbing, bouldering, and mountaineering. Highlights the booming indoor bouldering gyms in Indian metros (Bengaluru, Delhi), Himalayan mountaineering expeditions (Nehru Institute of Mountaineering), and sport climbing's introduction to the Olympics."
"IAB17-9","Cricket","Unquestionably the most dominant sport in India. Covers the Board of Control for Cricket in India (BCCI), the massive Indian Premier League (IPL) and Women's Premier League (WPL), international ICC tournaments, legends like Virat Kohli and MS Dhoni, domestic Ranji Trophy, and fantasy sports (Dream11)."
"IAB17-10","Figure Skating","Content focused on competitive ice skating. A highly niche winter sport in India, heavily focused on international Winter Olympics broadcasts, with minimal domestic participation outside of specialized rinks in cities like Dehradun and Gulmarg."
"IAB17-11","Fly Fishing","Information on angling using artificial flies. In India, this is a niche recreational activity centered around Himalayan trout fishing in streams across Himachal Pradesh (Tirthan Valley) and Kashmir, attracting eco-tourists and elite angling hobbyists."
"IAB17-12","Football","Content strictly regarding American Football (Gridiron). While niche, it covers the growing viewership of the NFL Super Bowl in urban India, broadcast on Star Sports, and minor developmental efforts by the Elite Football League of India (EFLI)."
"IAB17-13","Freshwater Fishing","Information on inland angling and fishing. Covers both commercial inland aquaculture (Rohu, Katla, and Mahseer) and recreational sport fishing in Indian lakes and rivers (like the Cauvery basin), regulated by local state fisheries departments."
"IAB17-14","Game and Fish","Content concerning wildlife management, hunting regulations, and fishing. In India, sport hunting is strictly banned under the Wildlife Protection Act of 1972. Content primarily focuses on anti-poaching, forest department conservation efforts, and strictly regulated catch-and-release fishing."
"IAB17-15","Golf","Information on golf courses, equipment, and professional tours. Covers the Indian elite corporate golfing culture, premium golf clubs (Delhi Golf Club, KGA), Indian pros like Anirban Lahiri and Aditi Ashok, and the Professional Golf Tour of India (PGTI)."
"IAB17-16","Horse Racing","Content regarding equestrian racing and betting. A historic, legalized betting sport in India, covering prestigious events like the Indian Derby at the Mahalaxmi Racecourse (Mumbai), Guindy (Chennai), and the Bangalore Turf Club, catering to elite punters."
"IAB17-17","Horses","Information on equestrianism, horse care, and polo. Covers the prestigious Indian Polo Association, heritage cavalry regiments (61st Cavalry), Marwari horse breeding in Rajasthan, and elite equestrian clubs in metropolitan cities teaching show jumping."
"IAB17-18","Hunting/Shooting","Content focused on competitive marksmanship. A highly successful Olympic discipline for India. Covers the National Rifle Association of India (NRAI), 10m air rifle/pistol events, legends like Abhinav Bindra and Manu Bhaker, and grassroots shooting academies."
"IAB17-19","Inline Skating","Information on rollerblading and competitive skating. Covers the growing popularity of speed skating among Indian school children, roller hockey events governed by the Roller Skating Federation of India (RSFI), and urban skate parks."
"IAB17-20","Martial Arts","Content regarding combat sports and self-defense. Covers traditional Indian arts (Kalaripayattu, Kushti/wrestling), alongside the massive youth appeal of Mixed Martial Arts (MMA), UFC broadcasts, Taekwondo, Karate, and Judo training in schools."
"IAB17-21","Mountain Biking","Information on off-road cycling over rough terrain. Highlights the MTB Himalaya rally, downhill cycling in the Western Ghats (Pune, Kerala), and the growing urban demographic purchasing high-end gear (Trek, Scott) for weekend trail riding."
"IAB17-22","NASCAR Racing","Content focused on the American stock car racing series. Highly niche in India, catering to die-hard motorsport fans through OTT platforms, focusing on the Daytona 500 and the engineering aspects of stock car aerodynamics."
"IAB17-23","Olympics","Information on the Summer and Winter Olympic Games. A massive source of national pride in India, focusing on track and field (Neeraj Chopra's Javelin), Wrestling, Weightlifting, the Indian Olympic Association (IOA), and the Khelo India scheme grooming future medalists."
"IAB17-24","Paintball","Content regarding the competitive team shooting sport. In India, this is primarily recognized as a popular weekend recreational activity, corporate team-building exercise, and adventure park attraction in tier-1 cities."
"IAB17-25","Powerboats","Information on motorized aquatic racing. A niche water sport in India, primarily associated with high-end luxury marine lifestyle, speed boat tourism in Goa and the Andaman Islands, and the F1 Powerboat World Championship broadcasts."
"IAB17-26","Pro Basketball","Content on professional basketball leagues. Covers the massive urban youth following of the NBA in India, merchandise (sneaker culture), the Indian National Basketball League (INBL), and the NBA India Games hosted in Mumbai."
"IAB17-27","Pro Ice Hockey","Information regarding professional ice hockey. A niche winter sport in India, with domestic activity restricted to the Ice Hockey Association of India (IHAI) conducting regional tournaments in the freezing climates of Ladakh and Spiti."
"IAB17-28","Rodeo","Content on competitive equestrian sports involving cattle/horses. A Western hemisphere sport with virtually no domestic equivalent in India, though traditionally compared to the highly controversial and heavily regulated Jallikattu (bull-taming) in Tamil Nadu."
"IAB17-29","Rugby","Information on rugby union and league. A growing grassroots sport in India, supported by the Indian Rugby Football Union (Rugby India), focusing heavily on tribal and rural youth empowerment in states like Odisha and West Bengal."
"IAB17-30","Running/Jogging","Content focused on recreational running, marathons, and track. A massive urban fitness trend in India, covering the Tata Mumbai Marathon, Vedanta Delhi Half Marathon, Pinkathon, and the widespread adoption of fitness trackers and running clubs (like Nike Run Club)."
"IAB17-31","Sailing","Information on navigating wind-powered watercraft. Covers the Yachting Association of India (YAI), elite sailing clubs (like the Royal Bombay Yacht Club), regattas, and India's participation in sailing events at the Asian Games."
"IAB17-32","Saltwater Fishing","Content on marine deep-sea angling. Covers India's vast coastline, traditional coastal fishing communities, and the emerging niche of deep-sea sport fishing (for Marlin and Tuna) off the coasts of the Andaman Islands, Goa, and Chennai."
"IAB17-33","Scuba Diving","Information on underwater diving and marine exploration. A booming adventure tourism sector in India, heavily focused on PADI certifications in the Andaman and Nicobar Islands (Havelock), Lakshadweep, and Netrani Island (Karnataka)."
"IAB17-34","Skateboarding","Content regarding riding skateboards and skate culture. An emerging urban subculture in India, covering localized skate parks (like Play Arena in Bengaluru or Janwaar Castle in MP), street fashion, and its induction into the Olympics."
"IAB17-35","Skiing","Information on traveling over snow on skis. Covers the Indian winter sports tourism sector, particularly in Gulmarg (Kashmir), Auli (Uttarakhand), and Manali, alongside India's participation in international alpine skiing events."
"IAB17-36","Snowboarding","Content on descending a snow-covered slope on a snowboard. A niche winter extreme sport in India, slowly gaining traction among affluent adventure tourists frequenting the Himalayan slopes in Gulmarg and international ski resorts."
"IAB17-37","Surfing/Bodyboarding","Information on riding waves using a board. A rapidly growing coastal subculture in India, centered around surf schools in Covelong/Kovalam (Tamil Nadu), Mahabalipuram, Varkala (Kerala), and the Surfing Federation of India."
"IAB17-38","Swimming","Content regarding competitive aquatic locomotion. Covers the Swimming Federation of India (SFI), urban club swimming, fitness lap swimming, and the struggle to build accessible Olympic-sized pools for grassroots competitive training."
"IAB17-39","Table Tennis/Ping-Pong","Information on the indoor racket sport. A highly popular recreational and competitive sport in India, covering the Ultimate Table Tennis (UTT) league, and international medalists like Sharath Kamal and Manika Batra."
"IAB17-40","Tennis","Content on the court-based racket sport. Covers the All India Tennis Association (AITA), legends like Rohan Bopanna, Sania Mirza, and Leander Paes, the Tata Open Maharashtra, and massive viewership for Grand Slams (Wimbledon, Roland Garros)."
"IAB17-41","Volleyball","Information on the team sport played over a net. Extremely popular at the grassroots and rural levels in India (especially in Kerala and Punjab), covering the Prime Volleyball League (PVL) and national federation tournaments."
"IAB17-42","Walking","Content focused on competitive racewalking and recreational walking. Covers India's Olympic racewalking contingent, and the massive cultural practice of 'morning walks' in local parks (like Lodhi Gardens or Cubbon Park) for daily cardiovascular fitness."
"IAB17-43","Waterski/Wakeboard","Information on surface water sports towed by a boat. A niche adventure activity in India, available primarily at premium beach resorts in Goa, coastal Karnataka, and specialized cable-ski parks for adventure enthusiasts."
"IAB17-44","World Soccer","Content regarding Association Football. The second most popular sport in India. Covers the All India Football Federation (AIFF), Indian Super League (ISL), massive domestic fanbases for the English Premier League (EPL), La Liga, and historic rivalries like Mohun Bagan vs. East Bengal."
"IAB18","Style & Fashion","Comprehensive content regarding personal aesthetics, apparel trends, and the lifestyle industry. In India, this spans the fusion of traditional ethnic wear with western silhouettes, the booming fashion e-commerce sector (Myntra, Ajio, Tata CLiQ), local haute couture (Sabyasachi, Manish Malhotra), wedding trousseaus, and India's vast textile heritage."
"IAB18-1","Beauty","Content focused on cosmetics, skincare, and grooming. Covers the massive Indian beauty and personal care (BPC) ecosystem (Nykaa, Lakmé, Sugar), Ayurvedic and botanical skincare (Forest Essentials, Kama Ayurveda), bridal makeup regimens, traditional haircare (amla/bhringraj oils), and the transition toward inclusive, melanin-friendly color cosmetics."
"IAB18-2","Body Art","Information on skin modifications, tattoos, and temporary adornments. Deeply rooted in Indian culture through traditional Henna (Mehendi) application during weddings, Karwa Chauth, and Eid. Also covers the surging urban popularity of permanent ink studios in tier-1 cities, traditional religious tattoos (Pachabottu), and cultural piercings (nose/septum rings)."
"IAB18-3","Fashion","Content regarding couture, seasonal design trends, and the fashion industry ecosystem. Covers marquee events like Lakmé Fashion Week, high-street fashion, Bollywood-inspired 'airport looks', the sustainable handloom revival (Khadi, Chanderi, Ikat), and the heavy influence of Indian fashion bloggers and Instagram creators on Gen-Z styling."
"IAB18-4","Jewelry","Information on precious ornaments and adornments. A massive cultural and economic pillar in India. Covers physical gold acquisition (22K BIS Hallmark), intricate bridal collections (Kundan, Polki, Jadau, Meenakari), South Indian temple jewelry (Tanishq, Malabar Gold), auspicious mangalsutras, and the booming market for imitation and oxidized silver jewelry."
"IAB18-5","Clothing","Content focused on specific garments, textiles, and everyday wear. Covers traditional Indian ethnic attire (Kanjeevaram and Banarasi sarees, kurtas, lehengas, sherwanis, salwar kameez) alongside the massive urban consumption of western fast fashion (Zara, H&M) and affordable street-shopping hubs (Sarojini Nagar, Commercial Street)."
"IAB18-6","Accessories","Information regarding wearable items that complement apparel. Covers traditional Indian accessories (bindis, glass bangles, matha pattis, potli bags, and dupattas), ethnic regional footwear (Punjabi juttis, Rajasthani mojaris, Kolhapuris), alongside modern western handbags, polarized sunglasses, premium analog watches, and leather belts."
"IAB19","Technology & Computing","Comprehensive content covering the massive Indian IT industry, consumer electronics, and digital infrastructure. Encompasses the Digital India initiative, the booming SaaS and startup ecosystem (Bengaluru, Hyderabad), massive smartphone and mobile internet penetration (Jio/Airtel 5G), enterprise software services (TCS, Infosys, Wipro), and the rapid adoption of digital public infrastructure (UPI, Aadhaar)."
"IAB19-1","3-D Graphics","Content regarding three-dimensional rendering, modeling, and computer-generated imagery (CGI). Covers the Indian VFX industry (such as Red Chillies VFX), 3D asset creation for gaming, architectural visualization in real estate, and utilizing software like Blender, Maya, and AutoCAD in engineering hubs."
"IAB19-2","Animation","Information on digital animation, motion graphics, and character design. Covers the Indian animation outsourcing industry, domestic animated IP (like Chhota Bheem), 2D/3D multimedia training institutes (Arena Animation, MAAC), and the growing demand for explainer videos and UI micro-interactions."
"IAB19-3","Antivirus Software","Content focused on endpoint security and malware protection. Highly relevant in addressing Indian cyber threats (Jamtara phishing, banking trojans, ransomware). Covers popular domestic and global software (Quick Heal, K7 Computing, Norton, McAfee), firewalls, and PC optimization tools."
"IAB19-4","C/C++","Information regarding foundational systems programming languages. Deeply embedded in the Indian academic curriculum (B.Tech Computer Science), covering data structures and algorithms (DSA) preparation for tech placements, legacy system maintenance, and embedded systems engineering."
"IAB19-5","Cameras & Camcorders","Content on digital photography equipment and videography gear. Covers the massive Indian wedding photography market, DSLR and mirrorless cameras (Sony Alpha, Canon, Nikon), vlogging setups, action cameras (GoPro) for motovloggers, and photography gear rentals."
"IAB19-6","Cell Phones","Information concerning the massive Indian smartphone market. Covers mobile OEMs (Xiaomi, Samsung, Realme, Apple), 'Make in India' domestic manufacturing (Foxconn, Dixon), the rapid rollout of 5G infrastructure, budget feature phones, and the hyper-competitive telecom sector (Jio, Airtel)."
"IAB19-7","Computer Certification","Content focused on professional IT credentials and upskilling. Crucial for career advancement in the Indian IT sector. Covers cloud certifications (AWS Solutions Architect, Azure), networking (Cisco CCNA), cybersecurity (CEH), and the vast ecosystem of tech coaching hubs (like Ameerpet in Hyderabad)."
"IAB19-8","Computer Networking","Information on digital telecommunications and IT infrastructure. Covers enterprise LAN/WAN setups in corporate tech parks, optical fiber rollouts (BharatNet), Wi-Fi routers (TP-Link, D-Link), ISP configurations, switching, and transitioning to IPv6 in the Indian digital backbone."
"IAB19-9","Computer Peripherals","Content regarding external hardware devices and input/output components. Covers the booming Indian PC gaming peripheral market (mechanical keyboards, high-DPI mice), webcams for remote work, monitors, external hard drives, and affordable localized brands (Zebronics, iBall, boAt)."
"IAB19-10","Computer Reviews","Information focused on hardware benchmarking, product comparisons, and unboxing. Driven by popular Indian tech YouTubers and bloggers, focusing on processor specs (Intel, AMD Ryzen), price-to-performance ratios for budget Indian consumers, thermal throttling in the Indian climate, and buying guides."
"IAB19-11","Data Centers","Content on server hosting facilities and enterprise IT infrastructure. Covers the booming Indian data center industry (Yotta, CtrlS, Nxtra) concentrated in Navi Mumbai and Chennai, driven by the Digital Personal Data Protection (DPDP) Act, data localization mandates, and cloud computing growth."
"IAB19-12","Databases","Information regarding data management systems and architecture. Covers relational databases (SQL, Oracle) managing massive Indian enterprise architectures, NoSQL (MongoDB), big data analytics, and the backend infrastructure powering high-volume systems like UPI and the Aadhaar registry."
"IAB19-13","Desktop Publishing","Content on digital typesetting and page layout software. Covers the ubiquitous Indian DTP centers, the heavy reliance on CorelDRAW for regional language flex banners and wedding card printing, Adobe InDesign for publishing, and vernacular typography design."
"IAB19-14","Desktop Video","Information on video editing software and post-production. Covers the massive creator economy in India, utilizing Adobe Premiere Pro, Final Cut Pro, and DaVinci Resolve. Includes color grading, rendering rigs, and editing workflows for YouTube vlogs and Instagram Reels."
"IAB19-15","Email","Content focused on electronic mail protocols and clients. Covers corporate communication (Microsoft Outlook, Google Workspace), managing cold emailing campaigns for Indian B2B SaaS startups, spam filtering, phishing awareness, and mass email marketing strategies."
"IAB19-16","Graphics Software","Information on raster and vector image editing tools. Covers the widespread use of Adobe Creative Cloud (Photoshop, Illustrator) in Indian design agencies, UI/UX design (Figma) adoption in tech startups, photo retouching in local photo studios, and digital illustration."
"IAB19-17","Home Video/DVD","Content regarding physical home media and digital ripping software. Historically relevant for Bollywood DVD consumption, currently focusing on media servers (Plex), format conversion utilities (HandBrake), home theater PCs (HTPC), and the transition to OTT digital streaming."
"IAB19-18","Internet Technology","Broad coverage of web protocols, infrastructure, and backend architecture. Covers Content Delivery Networks (Cloudflare), web hosting (HostGator India, GoDaddy), domain registration (.in / .co.in), broadband connectivity (FTTH), and internet governance in India."
"IAB19-19","Java","Information on the object-oriented programming language. The absolute backbone of the Indian IT services industry (WITCH companies). Covers enterprise application development, Spring Boot frameworks, massive corporate hiring drives for Java developers, and backend legacy systems."
"IAB19-20","JavaScript","Content focused on the core scripting language of the web. Highly relevant to India's startup ecosystem, covering frontend frameworks (React, Angular, Vue), backend development (Node.js), MERN/MEAN stack developers, and web application performance optimization."
"IAB19-21","Mac Support","Information on Apple's macOS ecosystem and troubleshooting. Covers the growing adoption of MacBooks in Indian IT startups and design agencies, authorized service centers (Imagine, Unicorn), macOS updates, cross-platform compatibility, and enterprise device management."
"IAB19-22","MP3/MIDI","Content regarding digital audio formats and digital audio workstations (DAWs). Covers independent music production (bedroom producers) in India, MIDI controllers, audio compression, podcast recording setups, and the historical evolution of Bollywood digital music distribution."
"IAB19-23","Net Conferencing","Information on video communication and virtual meeting platforms. The lifeline of India's global offshore delivery model and remote IT workforce. Covers Zoom, Microsoft Teams, Google Meet, web conferencing etiquette, and overcoming low-bandwidth internet challenges."
"IAB19-24","Net for Beginners","Content focused on digital literacy and basic internet navigation. Critical for onboarding the next billion Indian users. Covers the PMGDISHA scheme, navigating smartphones, using WhatsApp securely, digital payment (UPI) onboarding for senior citizens, and recognizing basic online scams."
"IAB19-25","Network Security","Information on protecting digital infrastructure and cyber defense. Covers the Indian Computer Emergency Response Team (CERT-In) guidelines, VPNs, setting up corporate firewalls, DDOS mitigation, Zero Trust architecture, and securing Indian banking networks against cyber-attacks."
"IAB19-26","Palmtops/PDAs","Content regarding historical handheld computing and its modern equivalents. While traditional PDAs are obsolete, this maps to the enterprise use of rugged tablets and handheld point-of-sale (POS) devices utilized heavily in Indian logistics (Delhivery), warehousing, and retail inventory management."
"IAB19-27","PC Support","Information on computer troubleshooting, maintenance, and hardware repair. Covers India's massive informal hardware repair markets (Nehru Place in Delhi, Lamington Road in Mumbai), Annual Maintenance Contracts (AMCs) for corporate fleets, OS formatting, and resolving blue-screen errors."
"IAB19-28","Portable","Content focused on mobile computing hardware. Covers the massive Indian market for laptops (HP, Dell, Lenovo), affordable notebooks for online education, power banks (essential due to power fluctuations), USB-C docks, and enterprise fleet deployments for hybrid work."
"IAB19-29","Entertainment","Information on tech-driven media consumption and recreational hardware. Covers smart TVs, streaming dongles (Amazon Fire TV Stick, Google Chromecast), portable Bluetooth speakers, AR/VR headsets, and setting up digital entertainment hubs in Indian households."
"IAB19-30","Shareware/Freeware","Content regarding free, open-source, and trial software. Covers the massive adoption of Free and Open-Source Software (FOSS) in Indian engineering colleges, downloading utility tools, navigating the freemium model, and the cultural shift away from pirated/cracked software toward open alternatives."
"IAB19-31","Unix","Information on Unix and Linux operating systems. The foundational OS for Indian server administration and DevOps. Covers Linux distributions (Ubuntu, CentOS, Red Hat), bash shell scripting, command-line interfaces, and managing cloud infrastructure on AWS/GCP."
"IAB19-32","Visual Basic","Content focused on Microsoft's legacy event-driven programming language. Highly relevant in the Indian corporate sector for Excel VBA macros (used extensively in accounting and finance KPOs), maintaining older government portals, and legacy enterprise software support."
"IAB19-33","Web Clip Art","Information on stock graphics, vectors, and digital assets. Covers the widespread use of stock imagery in Indian digital marketing agencies, sourcing affordable graphic elements, localized icon sets (rupee symbols, festival vectors), and royalty-free asset libraries (Freepik, Shutterstock)."
"IAB19-34","Web Design/HTML","Content regarding website creation, UI/UX, and frontend markup. Covers the massive Indian freelance web development market (Upwork, Fiverr), WordPress theme customization, responsive web design for mobile-first Indian internet users, and creating localized landing pages."
"IAB19-35","Web Search","Information on Search Engine Optimization (SEO) and search algorithms. Covers the Indian digital marketing landscape, ranking on Google India, vernacular voice search optimization (Hindi/regional languages), keyword research, backlinking strategies, and search engine marketing (SEM)."
"IAB19-36","Windows","Content focused on Microsoft's desktop operating system. The overwhelmingly dominant OS in India. Covers Windows 10/11 updates, troubleshooting registry errors, Windows Defender, enterprise Active Directory deployment in Indian corporate offices, and affordable OEM licensing."
"IAB20","Travel","Comprehensive content regarding tourism, hospitality, and domestic/international journeys. In India, this covers the massive domestic tourism sector (Incredible India, IRCTC), pilgrimage travel (Char Dham, Vaishno Devi), the booming outbound international tourist market, online travel aggregators (MakeMyTrip, Yatra), and the rapid expansion of airport infrastructure (UDAN scheme) across tier-2 and tier-3 cities."
"IAB20-1","Adventure Travel","Information on physically demanding tourism and extreme outdoor excursions. Covers the Indian adventure tourism circuit, including Himalayan trekking in Uttarakhand/Himachal, white-water rafting in Rishikesh, scuba diving in the Andamans, paragliding in Bir Billing, and motorcycle expeditions to Leh-Ladakh."
"IAB20-2","Africa","Content regarding travel to the African continent. For Indian tourists, this primarily focuses on affordable wildlife safaris in Kenya (Masai Mara) and South Africa, witnessing the Great Migration, and visiting Mauritius or Seychelles for visa-on-arrival luxury holidays."
"IAB20-3","Air Travel","Information on commercial aviation and passenger flights. Crucial for the Indian market, covering domestic carriers (IndiGo, Air India, Vistara), airport lounges (Priority Pass), baggage allowances, navigating major terminals like T3 Delhi or T2 Mumbai, and flight booking aggregators (Skyscanner, MMT)."
"IAB20-4","Australia & New Zealand","Content on tourism to Oceania. Covers the growing Indian outbound student and tourist demographic visiting Sydney, Melbourne, and Auckland, applying for subclass 600 visitor visas, and experiencing the Great Barrier Reef or iconic film set locations."
"IAB20-5","Bed & Breakfasts","Information regarding small lodging establishments offering overnight accommodation and breakfast. In India, this maps heavily to the booming homestay and heritage guesthouse market (Oyo Homestays, Airbnb) in destinations like Coorg, Darjeeling, and Kerala, offering authentic regional home-cooked meals."
"IAB20-6","Budget Travel","Content focused on affordable tourism and cost-effective backpacking. Highly relevant to India's youth demographic, covering cheap IRCTC sleeper class train journeys, Zostel backpacker hostels, state transport bus networks (HRTC, KSRTC), and shoestring itineraries for Goa, Gokarna, or Hampi."
"IAB20-7","Business Travel","Information on corporate trips and commercial travel logistics. Covers India's corporate tech hubs (Bengaluru, Gurugram, Mumbai), managing MICE (Meetings, Incentives, Conferences, and Exhibitions) events, GST invoicing for travel, premium business hotels (Taj, ITC, Lemon Tree), and frequent flyer miles."
"IAB20-8","By US Locale","Content traditionally mapped geographically to the United States. In the Indian digital context, this covers outbound Indian tourism to major US cities (New York, San Francisco), navigating the B1/B2 visa appointment process, NRI family visits, and H1-B professional transit."
"IAB20-9","Camping","Information on outdoor recreational living in tents or temporary shelters. Covers the booming Indian glamping (glamorous camping) trend, riverside tent pitching in Kasol or Rishikesh, Pawna Lake camping near Pune/Mumbai, and the essential outdoor gear (Quechua/Decathlon) needed for the Indian terrain."
